ride_id,user_id,driver_id,pickup_location,drop_location,fare,distance_km,ride_time,user_name,driver_name
f3154a9e,U1203,D2160,Indiranagar,BTM,182.38,4.21,22-03-2023 14:56,User_203,Driver_160
763c53f7,U1406,D2059,Koramangala,Marathahalli,138.9,15.29,16-01-2023 09:16,User_406,Driver_59
34e607a2,U1496,D2236,Indiranagar,Marathahalli,224.88,8.32,23-06-2023 14:41,User_496,Driver_236
6aaee20c,U1438,D2223,Indiranagar,Hebbal,230.84,9.45,19-02-2023 23:17,User_438,Driver_223
d61d0c30,U1286,D2251,HSR,Jayanagar,132.61,2.3,09-01-2023 09:51,User_286,Driver_251
93adfbd0,U1311,D2126,Whitefield,Jayanagar,164.41,10.69,02-05-2023 03:21,User_311,Driver_126
e814a2e6,U1339,D2027,MG Road,Jayanagar,98.17,9.89,01-02-2023 02:28,User_339,Driver_27
c6533a2d,U1416,D2145,Indiranagar,BTM,241.8,19.7,16-03-2023 08:19,User_416,Driver_145
1b73aa5e,U1175,D2176,Koramangala,BTM,227.48,16.13,29-06-2023 01:33,User_175,Driver_176
4db44ece,U1230,D2282,Indiranagar,Jayanagar,257.44,5.23,16-02-2023 09:49,User_230,Driver_282
d6f3c49f,U1368,D2102,Whitefield,Hebbal,148.16,19.57,04-05-2023 10:27,User_368,Driver_102
fed2990d,U1402,D2225,Koramangala,Marathahalli,98.99,10.57,24-04-2023 22:53,User_402,Driver_225
6fab1857,U1289,D2175,Whitefield,BTM,93.89,17.36,20-02-2023 09:55,User_289,Driver_175
3481b822,U1488,D2150,Whitefield,Marathahalli,191.56,14.96,03-03-2023 07:46,User_488,Driver_150
245fb0e5,U1136,D2082,Indiranagar,Jayanagar,228.85,2.02,23-05-2023 13:29,User_136,Driver_82
efe54eb3,U1284,D2110,Whitefield,Jayanagar,271.22,8.16,11-01-2023 12:30,User_284,Driver_110
8b1904c8,U1294,D2180,Indiranagar,Jayanagar,96.61,2.29,30-06-2023 16:24,User_294,Driver_180
4694b32a,U1249,D2247,MG Road,Hebbal,249.82,16.15,09-05-2023 00:48,User_249,Driver_247
1d414d82,U1318,D2080,Indiranagar,Hebbal,266.79,14.46,01-06-2023 15:40,User_318,Driver_80
f79a5e99,U1098,D2168,MG Road,Marathahalli,245.02,9.27,09-04-2023 15:09,User_98,Driver_168
9e3355c0,U1030,D2119,Indiranagar,Electronic City,223.54,12.68,12-03-2023 05:03,User_30,Driver_119
41b309ea,U1394,D2158,Indiranagar,Marathahalli,42.48,7.95,21-05-2023 19:36,User_394,Driver_158
14fc8a98,U1177,D2101,Whitefield,Hebbal,294.37,6.75,02-04-2023 23:21,User_177,Driver_101
320c2474,U1101,D2155,HSR,Electronic City,206.91,11.95,06-02-2023 10:38,User_101,Driver_155
ad0b51de,U1382,D2235,MG Road,Marathahalli,286.66,4.17,15-06-2023 11:55,User_382,Driver_235
8b261443,U1110,D2200,Koramangala,Marathahalli,272.16,8.33,02-02-2023 10:46,User_110,Driver_200
f69cbd23,U1430,D2223,Koramangala,Electronic City,87.12,6.82,23-05-2023 04:59,User_430,Driver_223
fc707830,U1056,D2017,Indiranagar,Jayanagar,100.95,3.2,04-02-2023 18:44,User_56,Driver_17
21fa2b06,U1138,D2254,Whitefield,Jayanagar,269.22,9.78,28-03-2023 21:33,User_138,Driver_254
c787c209,U1199,D2069,HSR,Jayanagar,187.29,15.3,13-02-2023 16:01,User_199,Driver_69
700247cc,U1389,D2263,Indiranagar,Jayanagar,66.21,6.66,29-06-2023 00:17,User_389,Driver_263
d69a2c19,U1434,D2135,HSR,Marathahalli,136.78,8,25-01-2023 08:53,User_434,Driver_135
b7b16aa2,U1028,D2151,Indiranagar,Electronic City,146.6,4.57,15-01-2023 11:30,User_28,Driver_151
dafc4bed,U1120,D2073,HSR,BTM,277.27,10.49,02-02-2023 05:04,User_120,Driver_73
e95e0748,U1492,D2208,HSR,Electronic City,123.82,18.51,26-02-2023 15:29,User_492,Driver_208
6b0ad646,U1411,D2116,Indiranagar,Hebbal,85.11,18.36,02-06-2023 03:13,User_411,Driver_116
8754b8dd,U1210,D2228,Whitefield,BTM,228.35,16.7,08-01-2023 12:13,User_210,Driver_228
44afc885,U1457,D2243,Indiranagar,Hebbal,30.77,17.77,26-04-2023 14:16,User_457,Driver_243
c131a0f0,U1384,D2055,Koramangala,Hebbal,195.31,2.78,10-02-2023 19:58,User_384,Driver_55
67cabb0c,U1456,D2171,Indiranagar,BTM,131.06,14.23,11-03-2023 14:58,User_456,Driver_171
dd5cf0ff,U1415,D2213,Whitefield,BTM,237.09,2.89,25-06-2023 19:33,User_415,Driver_213
ccf0f8e6,U1138,D2048,Whitefield,Marathahalli,189.78,19.12,02-01-2023 04:26,User_138,Driver_48
1c31c0b2,U1145,D2045,Koramangala,Marathahalli,182.62,9.44,27-02-2023 21:57,User_145,Driver_45
d28a44f5,U1270,D2030,Whitefield,Electronic City,243.15,16.39,10-04-2023 04:33,User_270,Driver_30
2468747,U1203,D2049,Indiranagar,Marathahalli,53.13,19.67,25-03-2023 01:11,User_203,Driver_49
4789cd1b,U1234,D2109,HSR,BTM,281.74,3.67,05-01-2023 20:34,User_234,Driver_109
262e9967,U1244,D2180,MG Road,Hebbal,122.89,2.5,14-05-2023 15:29,User_244,Driver_180
1ba9d83d,U1363,D2099,HSR,BTM,110.86,16.49,28-02-2023 13:59,User_363,Driver_99
1db9d5fd,U1112,D2228,Koramangala,Jayanagar,132.64,7.68,24-06-2023 13:09,User_112,Driver_228
b7f77b7c,U1164,D2119,MG Road,Electronic City,86.87,5.91,18-04-2023 13:56,User_164,Driver_119
1bdd5e88,U1499,D2002,Koramangala,Marathahalli,96.81,10.23,09-02-2023 22:03,User_499,Driver_2
d1b8bcaf,U1217,D2152,Indiranagar,Electronic City,248.81,17.2,10-03-2023 14:45,User_217,Driver_152
d5aefcc1,U1478,D2192,Whitefield,Marathahalli,262.27,14.83,15-06-2023 23:27,User_478,Driver_192
6378c599,U1028,D2139,Whitefield,Jayanagar,213.34,16.43,16-01-2023 06:41,User_28,Driver_139
e69fcb0c,U1349,D2244,MG Road,Electronic City,210.02,16.05,07-05-2023 20:20,User_349,Driver_244
09b245a5,U1383,D2078,HSR,Electronic City,256,10.92,25-04-2023 00:20,User_383,Driver_78
073d2180,U1362,D2126,Indiranagar,Hebbal,122.82,4.31,08-02-2023 03:25,User_362,Driver_126
41a8066b,U1330,D2169,Koramangala,Hebbal,131.18,13.99,24-06-2023 13:18,User_330,Driver_169
645e82a9,U1031,D2192,HSR,Marathahalli,63.44,7.28,03-03-2023 10:46,User_31,Driver_192
5a97f774,U1222,D2282,MG Road,Marathahalli,266.42,11.88,27-05-2023 06:38,User_222,Driver_282
b7d8252b,U1331,D2073,Koramangala,Hebbal,279.93,2.26,12-06-2023 15:11,User_331,Driver_73
3c9f3f6d,U1310,D2150,Whitefield,BTM,95.66,13.69,05-06-2023 17:47,User_310,Driver_150
6a1e2a63,U1056,D2103,HSR,Electronic City,81.39,15.9,27-03-2023 03:08,User_56,Driver_103
30b45b54,U1196,D2276,HSR,BTM,39.4,16.82,10-03-2023 21:18,User_196,Driver_276
04b91865,U1099,D2148,Whitefield,BTM,219.84,19.17,03-04-2023 16:30,User_99,Driver_148
b76b8075,U1127,D2179,Koramangala,BTM,262.67,5.03,13-02-2023 19:30,User_127,Driver_179
68dfe81b,U1247,D2211,HSR,Jayanagar,110.22,6.47,06-06-2023 19:06,User_247,Driver_211
cd7fa28f,U1251,D2193,Indiranagar,BTM,174.46,18.96,27-06-2023 21:16,User_251,Driver_193
ca51f3cf,U1123,D2212,Koramangala,Jayanagar,176.99,5.62,29-06-2023 03:35,User_123,Driver_212
7e261f8e,U1396,D2200,Whitefield,Hebbal,180.66,16.72,15-05-2023 14:07,User_396,Driver_200
6a9f7381,U1102,D2243,Whitefield,Jayanagar,282.15,8.39,14-06-2023 00:09,User_102,Driver_243
212b9883,U1319,D2130,Whitefield,Jayanagar,220.38,13.78,30-04-2023 12:33,User_319,Driver_130
6637844e,U1103,D2248,MG Road,Electronic City,185.36,7.64,06-02-2023 03:33,User_103,Driver_248
ec4d5974,U1068,D2266,Koramangala,Electronic City,57.51,8.08,04-05-2023 16:22,User_68,Driver_266
393b857b,U1233,D2251,HSR,BTM,245.96,9.24,23-02-2023 15:07,User_233,Driver_251
97c5d0ff,U1322,D2272,Whitefield,Electronic City,260.33,13.16,07-05-2023 19:52,User_322,Driver_272
3b853464,U1373,D2122,MG Road,Marathahalli,226.31,16.78,03-05-2023 11:53,User_373,Driver_122
3ef3b4e3,U1307,D2239,Koramangala,Jayanagar,277.51,6.46,05-01-2023 01:53,User_307,Driver_239
72f8ef53,U1129,D2052,Koramangala,Jayanagar,243.34,7.74,20-04-2023 01:54,User_129,Driver_52
995ed672,U1303,D2041,Indiranagar,Electronic City,178.46,14.39,20-04-2023 07:32,User_303,Driver_41
2e4b782b,U1293,D2243,Whitefield,Marathahalli,159.57,18.25,03-06-2023 00:19,User_293,Driver_243
bd09d0dc,U1177,D2126,Koramangala,BTM,170.26,10.25,14-04-2023 18:20,User_177,Driver_126
1cec82e1,U1394,D2241,Indiranagar,BTM,245.93,6.61,27-05-2023 21:29,User_394,Driver_241
d961a6c4,U1291,D2133,Koramangala,Hebbal,102.32,4.91,03-01-2023 12:03,User_291,Driver_133
7c137331,U1453,D2103,Indiranagar,Hebbal,163.59,9.89,25-03-2023 08:35,User_453,Driver_103
441c167b,U1345,D2254,Indiranagar,Hebbal,106.2,11.85,09-06-2023 03:48,User_345,Driver_254
0521d1b3,U1406,D2225,Indiranagar,Jayanagar,205.31,13.7,02-05-2023 07:00,User_406,Driver_225
4f93fc4b,U1416,D2276,Whitefield,Electronic City,40.21,14.34,07-03-2023 03:13,User_416,Driver_276
13ea3b5c,U1342,D2214,Indiranagar,Hebbal,69.42,10.09,14-03-2023 00:04,User_342,Driver_214
d8b1a75e,U1021,D2184,Whitefield,Electronic City,204.71,8.83,24-02-2023 18:13,User_21,Driver_184
c647b8b6,U1337,D2068,Koramangala,BTM,152.22,19.87,16-01-2023 09:22,User_337,Driver_68
bfd03c43,U1059,D2019,Indiranagar,Electronic City,247.98,3.83,24-02-2023 03:32,User_59,Driver_19
395e419d,U1056,D2016,Indiranagar,Jayanagar,58.3,8.1,18-03-2023 15:43,User_56,Driver_16
3d22e15f,U1258,D2154,Indiranagar,BTM,121.48,6.73,30-06-2023 22:14,User_258,Driver_154
80c8e842,U1338,D2027,HSR,Electronic City,121.61,9.62,25-05-2023 19:26,User_338,Driver_27
5b0cc4d1,U1479,D2272,MG Road,Jayanagar,260.84,7.04,12-06-2023 09:51,User_479,Driver_272
f927c0b5,U1044,D2235,Koramangala,BTM,299.04,2.64,22-04-2023 12:01,User_44,Driver_235
